# self-consistency convergence trace
# iter  error=max|dn_i|  N_total  S_z
0 0.0906302513147 47 1.5
1 0.0903876723377 47 1.5
2 0.0890860895144 47 1.5
3 0.0878043212479 47 1.5
4 0.0865420217585 47 1.5
5 0.085366667572 47 1.5
6 0.0843745747935 47 1.5
7 0.0833900729506 47 1.5
8 0.0824132571571 47 1.5
9 0.0814442137321 47 1.5
10 0.0804830232868 47 1.5
11 0.0795297593955 47 1.5
12 0.0785844888604 47 1.5
13 0.0776472719724 47 1.5
14 0.076718162766 47 1.5
15 0.0757972092658 47 1.5
16 0.0748844537263 47 1.5
17 0.073979932864 47 1.5
18 0.0730836780829 47 1.5
19 0.0721957156931 47 1.5
20 0.0713160671222 47 1.5
21 0.0704447491205 47 1.5
22 0.0695817739591 47 1.5
23 0.0687271496229 47 1.5
24 0.0678808799955 47 1.5
25 0.0670429650398 47 1.5
26 0.0662134009718 47 1.5
27 0.0653921804286 47 1.5
28 0.0645792926312 47 1.5
29 0.0637747235415 47 1.5
30 0.0629784560138 47 1.5
31 0.062190469942 47 1.5
32 0.0614107424004 47 1.5
33 0.0606392477809 47 1.5
34 0.0598759579242 47 1.5
35 0.0591208422476 47 1.5
36 0.0583738678676 47 1.5
37 0.0576349997178 47 1.5
38 0.0569042006635 47 1.5
39 0.0561814316114 47 1.5
40 0.0554666516156 47 1.5
41 0.0547598179798 47 1.5
42 0.0540608863556 47 1.5
43 0.0533698108374 47 1.5
44 0.0526865440533 47 1.5
45 0.0520110372531 47 1.5
46 0.0513432403929 47 1.5
47 0.0506831022161 47 1.5
48 0.0500305703318 47 1.5
49 0.0493855912899 47 1.5
50 0.0487481106538 47 1.5
51 0.048118073069 47 1.5
52 0.047495422331 47 1.5
53 0.0468801014485 47 1.5
54 0.0462720527057 47 1.5
55 0.0456712177211 47 1.5
56 0.0450775375044 47 1.5
57 0.0444909525112 47 1.5
58 0.0439114026949 47 1.5
59 0.0433388275571 47 1.5
60 0.0427731661959 47 1.5
61 0.0422143573515 47 1.5
62 0.0416623394509 47 1.5
63 0.0411170506497 47 1.5
64 0.040578428873 47 1.5
65 0.0400464118541 47 1.5
66 0.0395209371714 47 1.5
67 0.0390019422842 47 1.5
68 0.0384893645662 47 1.5
69 0.0379831413386 47 1.5
70 0.0374832099002 47 1.5
71 0.0369895075579 47 1.5
72 0.0365019716542 47 1.5
73 0.0360205395943 47 1.5
74 0.0355451488722 47 1.5
75 0.0350757370946 47 1.5
76 0.0346122420044 47 1.5
77 0.0341546015032 47 1.5
78 0.0337027536716 47 1.5
79 0.0332566367902 47 1.5
80 0.0328161893579 47 1.5
81 0.0323813501103 47 1.5
82 0.031952058037 47 1.5
83 0.0315282523974 47 1.5
84 0.0311098727363 47 1.5
85 0.0306968588987 47 1.5
86 0.0302891510432 47 1.5
87 0.029886689655 47 1.5
88 0.0294894155584 47 1.5
89 0.0290972699281 47 1.5
90 0.0287101942999 47 1.5
91 0.0283281305814 47 1.5
92 0.0279510210611 47 1.5
93 0.0275788084174 47 1.5
94 0.0272114357269 47 1.5
95 0.0268488464725 47 1.5
96 0.0264909845503 47 1.5
97 0.0261377942765 47 1.5
98 0.0257892203937 47 1.5
99 0.0254452080762 47 1.5
100 0.025105702936 47 1.5
101 0.024770651027 47 1.5
102 0.0244399988499 47 1.5
103 0.0241136933557 47 1.5
104 0.0237916819499 47 1.5
105 0.0234739124955 47 1.5
106 0.0231603333157 47 1.5
107 0.0228508931968 47 1.5
108 0.0225455413902 47 1.5
109 0.0222442276143 47 1.5
110 0.0219469020563 47 1.5
111 0.0216535153734 47 1.5
112 0.0213640186939 47 1.5
113 0.0210783636178 47 1.5
114 0.0207965022177 47 1.5
115 0.0205183870385 47 1.5
116 0.0202439710984 47 1.5
117 0.0199732078876 47 1.5
118 0.0197060513689 47 1.5
119 0.0194424559766 47 1.5
120 0.0191823766159 47 1.5
121 0.0189257686621 47 1.5
122 0.0186725879591 47 1.5
123 0.0184227908186 47 1.5
124 0.0181973881816 47 1.5
125 0.0179959090377 47 1.5
126 0.0177964002052 47 1.5
127 0.0175988494191 47 1.5
128 0.0174032442912 47 1.5
129 0.0172095723176 47 1.5
130 0.017017820886 47 1.5
131 0.0168279772821 47 1.5
132 0.0166400286967 47 1.5
133 0.0164539622321 47 1.5
134 0.0162697649086 47 1.5
135 0.0160874236706 47 1.5
136 0.0159069253929 47 1.5
137 0.015728256886 47 1.5
138 0.0155514049023 47 1.5
139 0.0153763561414 47 1.5
140 0.0152030972557 47 1.5
141 0.0150316148551 47 1.5
142 0.0148618955128 47 1.5
143 0.0146939257697 47 1.5
144 0.014527692139 47 1.5
145 0.0143631811115 47 1.5
146 0.0142003791596 47 1.5
147 0.0140392727415 47 1.5
148 0.0138798483059 47 1.5
149 0.0137220922957 47 1.5
150 0.013565991152 47 1.5
151 0.0134115313179 47 1.5
152 0.0132586992425 47 1.5
153 0.013107481384 47 1.5
154 0.0129578642135 47 1.5
155 0.0128098342181 47 1.5
156 0.0126633779042 47 1.5
157 0.0125184818007 47 1.5
158 0.012375132462 47 1.5
159 0.0122333164708 47 1.5
160 0.0120930204408 47 1.5
161 0.0119542310196 47 1.5
162 0.0118169348913 47 1.5
163 0.0116811187786 47 1.5
164 0.011546769446 47 1.5
165 0.0114138737011 47 1.5
166 0.0112824183977 47 1.5
167 0.0111523904374 47 1.5
168 0.011023776772 47 1.5
169 0.0108965644051 47 1.5
170 0.0107707403942 47 1.5
171 0.0106462918527 47 1.5
172 0.0105232059513 47 1.5
173 0.0104014699196 47 1.5
174 0.0102810710483 47 1.5
175 0.0101619966899 47 1.5
176 0.0100442342607 47 1.5
177 0.00992777124199 47 1.5
178 0.00981259518143 47 1.5
179 0.00969869369423 47 1.5
180 0.00958605446435 47 1.5
181 0.0094746652457 47 1.5
182 0.00936451386312 47 1.5
183 0.00925558821347 47 1.5
184 0.00914787626655 47 1.5
185 0.00904136606602 47 1.5
186 0.00893604573024 47 1.5
187 0.00883190345309 47 1.5
188 0.00872892750474 47 1.5
189 0.0086271062323 47 1.5
190 0.00852642806152 47 1.5
191 0.00842688149578 47 1.5
192 0.00832845511557 47 1.5
193 0.00823113758211 47 1.5
194 0.00813491763646 47 1.5
195 0.00803978410001 47 1.5
196 0.00794572587481 47 1.5
197 0.00785273194404 47 1.5
198 0.00776079137228 47 1.5
199 0.00766989330583 47 1.5
200 0.00758002697301 47 1.5
201 0.00749118168436 47 1.5
202 0.00740334683284 47 1.5
203 0.00731651189403 47 1.5
204 0.00723066642628 47 1.5
205 0.00714580007076 47 1.5
206 0.00706190255165 47 1.5
207 0.00697896367609 47 1.5
208 0.00689697333432 47 1.5
209 0.00681592149958 47 1.5
210 0.0067357982282 47 1.5
211 0.00665659365948 47 1.5
212 0.00657829801567 47 1.5
213 0.00650090160187 47 1.5
214 0.00642439480594 47 1.5
215 0.00634876809836 47 1.5
216 0.00627401203208 47 1.5
217 0.00620011724239 47 1.5
218 0.0061270744467 47 1.5
219 0.00605487444435 47 1.5
220 0.00598350811641 47 1.5
221 0.00591296642545 47 1.5
222 0.00584324041525 47 1.5
223 0.00577432121059 47 1.5
224 0.00570620001694 47 1.5
225 0.00563886812018 47 1.5
226 0.0055723168863 47 1.5
227 0.00550653776106 47 1.5
228 0.0054415222697 47 1.5
229 0.00537726201657 47 1.5
230 0.00531374868479 47 1.5
231 0.00525097403586 47 1.5
232 0.00518892990934 47 1.5
233 0.00512760822243 47 1.5
234 0.00506700096959 47 1.5
235 0.00500710022213 47 1.5
236 0.0049478981278 47 1.5
237 0.00488938691041 47 1.5
238 0.00483155886936 47 1.5
239 0.00477440637922 47 1.5
240 0.00471792188931 47 1.5
241 0.00466209792323 47 1.5
242 0.00460692707846 47 1.5
243 0.00455240202582 47 1.5
244 0.00449851550907 47 1.5
245 0.00444526034445 47 1.5
246 0.00439262942017 47 1.5
247 0.00434061569593 47 1.5
248 0.0042892122025 47 1.5
249 0.00423841204118 47 1.5
250 0.00418820838331 47 1.5
251 0.00413859446982 47 1.5
252 0.00408956361071 47 1.5
253 0.00404110918455 47 1.5
254 0.003993224638 47 1.5
255 0.00394590348528 47 1.5
256 0.0038991393077 47 1.5
257 0.00385292575311 47 1.5
258 0.00380725653545 47 1.5
259 0.00376212543418 47 1.5
260 0.00371752629384 47 1.5
261 0.00367345302345 47 1.5
262 0.0036298995961 47 1.5
263 0.00358686004833 47 1.5
264 0.00354432847972 47 1.5
265 0.0035022990523 47 1.5
266 0.00346076599007 47 1.5
267 0.00341972357849 47 1.5
268 0.00337916616395 47 1.5
269 0.00333908815327 47 1.5
270 0.00329948401317 47 1.5
271 0.00326034826978 47 1.5
272 0.00322167550813 47 1.5
273 0.0031834603716 47 1.5
274 0.00314569756146 47 1.5
275 0.00310838183632 47 1.5
276 0.00307150801167 47 1.5
277 0.00303507095931 47 1.5
278 0.00299906560691 47 1.5
